Name,Latitude,Longitude,Elevation
162400000,41.25703803095629,-95.95512763589404,349.07
kx0u,41.18660274289527,-95.96064116595667,355.69
n3pay,41.24669616513154,-96.08366304481238,329.0
kf0mtl,41.32916620016985,-96.03513381562004,373.18
